年,月,日,気温,品質,均質
2011,9,23,19.2,8,1
2011,9,24,19.9,8,1
2011,9,25,20.5,8,1
2011,9,26,22.1,8,1
2011,9,27,23,8,1
2011,9,28,23,8,1
2011,9,29,24.6,8,1
2011,9,30,22.1,8,1
2011,10,1,20.4,8,1
2011,10,2,19.4,8,1
2011,10,3,19.2,8,1
2011,10,4,19.1,8,1
2011,10,5,18.2,8,1
2011,10,6,19.6,8,1
2011,10,7,19.4,8,1
2011,10,8,18.1,8,1
2011,10,9,20,8,1
2011,10,10,21,8,1
2011,10,11,20.7,8,1
2011,10,12,21,8,1
2011,10,13,22,8,1
2011,10,14,20.9,8,1
2011,10,15,20.6,8,1
2011,10,16,19.3,8,1
2011,10,17,17.8,8,1
2011,10,18,17.3,8,1
2011,10,19,17.6,8,1
2011,10,20,19.4,8,1
2011,10,21,19.8,8,1
2011,10,22,19.3,8,1
2011,10,23,18.9,8,1
2011,10,24,18.9,8,1
2011,10,25,17,8,1
2011,10,26,15.4,8,1
2011,10,27,14.6,8,1
2011,10,28,15.2,8,1
2011,10,29,17.9,8,1
2011,10,30,17.5,8,1
2011,10,31,18.2,8,1
2011,11,1,19.1,8,1
2011,11,2,20.4,8,1
2011,11,3,20.5,8,1
2011,11,4,20.6,8,1
2011,11,5,21,8,1
2011,11,6,19.9,8,1
2011,11,7,19,8,1
2011,11,8,16.3,8,1
2011,11,9,16.7,8,1
2011,11,10,15.8,8,1
2011,11,11,17,8,1
2011,11,12,18.2,8,1
2011,11,13,16,8,1
2011,11,14,14.3,8,1
2011,11,15,12.6,8,1
2011,11,16,12.1,8,1
2011,11,17,13.9,8,1
2011,11,18,16.7,8,1
2011,11,19,19.5,8,1
2011,11,20,12.8,8,1
2011,11,21,9,8,1
2011,11,22,8.9,8,1
2011,11,23,11.8,8,1
2011,11,24,8.6,8,1
2011,11,25,8.2,8,1
2011,11,26,9.8,8,1
2011,11,27,13.4,8,1
2011,11,28,15.9,8,1
2011,11,29,17,8,1
2011,11,30,16.8,8,1
2011,12,1,12.5,8,1
2011,12,2,11.2,8,1
2011,12,3,12.4,8,1
2011,12,4,11.4,8,1
2011,12,5,10.7,8,1
2011,12,6,11.4,8,1
2011,12,7,11.8,8,1
2011,12,8,10.9,8,1
2011,12,9,6.5,8,1
2011,12,10,6.9,8,1
2011,12,11,8.2,8,1
2011,12,12,9.2,8,1
2011,12,13,10.1,8,1
2011,12,14,10.2,8,1
2011,12,15,9.8,8,1
2011,12,16,4.7,8,1
2011,12,17,4.6,8,1
2011,12,18,6,8,1
2011,12,19,6.6,8,1
2011,12,20,5.5,8,1
2011,12,21,7.4,8,1
2011,12,22,7.7,8,1
2011,12,23,5,8,1
2011,12,24,4.6,8,1
2011,12,25,3.9,8,1
2011,12,26,3.8,8,1
2011,12,27,3.7,8,1
2011,12,28,4.8,8,1
2011,12,29,6.3,8,1
2011,12,30,6.8,8,1
2011,12,31,6.8,8,1
2012,1,1,7.1,8,1
2012,1,2,5.7,8,1
2012,1,3,6.3,8,1
2012,1,4,4.1,8,1
2012,1,5,4.3,8,1
2012,1,6,4.6,8,1
2012,1,7,5.3,8,1
2012,1,8,6.9,8,1
2012,1,9,7.1,8,1
2012,1,10,5.7,8,1
2012,1,11,5.4,8,1
2012,1,12,3.9,8,1
2012,1,13,5.6,8,1
2012,1,14,5.2,8,1
2012,1,15,5.8,8,1
2012,1,16,5.6,8,1
2012,1,17,5.1,8,1
2012,1,18,6.7,8,1
2012,1,19,8.2,8,1
2012,1,20,9.9,8,1
2012,1,21,9.2,8,1
2012,1,22,6.8,8,1
2012,1,23,4.3,8,1
2012,1,24,1.5,8,1
2012,1,25,2.1,8,1
2012,1,26,2.8,8,1
2012,1,27,4,8,1
2012,1,28,5.9,8,1
2012,1,29,5.9,8,1
2012,1,30,4.5,8,1
2012,1,31,3.7,8,1
2012,2,1,5.4,8,1
2012,2,2,-1.4,8,1
2012,2,3,-0.1,8,1
2012,2,4,4.2,8,1
2012,2,5,4.5,8,1
2012,2,6,7.3,8,1
2012,2,7,7,8,1
2012,2,8,1.1,8,1
2012,2,9,3.1,8,1
2012,2,10,4.5,8,1
2012,2,11,3.9,8,1
2012,2,12,4.1,8,1
2012,2,13,5.2,8,1
2012,2,14,7,8,1
2012,2,15,8.2,8,1
2012,2,16,5.9,8,1
2012,2,17,3.5,8,1
2012,2,18,0.9,8,1
2012,2,19,1.6,8,1
2012,2,20,4.5,8,1
2012,2,21,6.1,8,1
2012,2,22,7,8,1
2012,2,23,10.5,8,1
2012,2,24,9.5,8,1
2012,2,25,8.4,8,1
2012,2,26,6.4,8,1
2012,2,27,5.7,8,1
